,athlete_id,name,born_date,born_city,born_region,born_country,NOC,height_cm,weight_kg,died_date,h to w ratio,first_name,born_year
136956,140192,Motonaga Arito,2002-03-18,,,,Japan,,,,,Motonaga,2002.0
136769,140003,Motiejus Morauskas,2002-04-28,,,,Lithuania,,,,,Motiejus,2002.0
135876,139090,Moon Si-Woo,2002-07-07,,,,Republic of Korea,,,,,Moon,2002.0
135898,139112,Monika Wosińska,2002-01-14,,,,Poland,,,,,Monika,2002.0
136660,139892,Mona Danuser,2002-01-24,,,,Switzerland,,,,,Mona,2002.0
135852,139066,Momoha Tabata,2002-08-08,,,,Japan,,,,,Momoha,2002.0
142295,145897,Mohammed Hamada,2002-03-14,Ghazza (Gaza),Ghazza,PLE,Palestine,,,,,Mohammed,2002.0
140933,144462,Miyu Namba,2002-05-31,,,,Japan,,,,,Miyu,2002.0
136749,139982,Mitchell Davern,2002-03-21,,,,New Zealand,,,,,Mitchell,2002.0
135601,138815,Misa Sasaki,2002-02-06,,,,Japan,,,,,Misa,2002.0
135748,138962,Miquel Auladell,2002-02-14,,,,Spain,,,,,Miquel,2002.0
135631,138845,Mine Kılıç,2002-10-10,,,,Türkiye,,,,,Mine,2002.0
135355,138569,Mina Baştan,2002-07-23,,,,Türkiye,,,,,Mina,2002.0
135850,139064,Mina Kobayashi,2002-07-20,,,,Japan,,,,,Mina,2002.0
135409,138623,Mikkel Remsøy,2002-08-04,,,,Norway,,,,,Mikkel,2002.0
136573,139800,Mikhail Karnaukhov,2002-07-01,,,,Russian Federation,,,,,Mikhail,2002.0
135552,138766,Miia Utsal,2002-01-14,Võru,Võrumaa,EST,Estonia,,,,,Miia,2002.0
145316,149038,Mida Fah Jaiman,2002-12-01,Mendrisio,Ticino,SUI,Thailand,,,,,Mida,2002.0
136539,139765,Metod Majerčák,2002-09-08,,,,Slovakia,,,,,Metod,2002.0
135983,139201,Melvin Morén,2002-07-24,,,,Sweden,,,,,Melvin,2002.0
135833,139047,Mehmet Türün,2002-02-01,,,,Türkiye,,,,,Mehmet,2002.0
140347,143854,Megan Ryan,2002-04-03,,,,Ireland,,,,,Megan,2002.0
143513,147165,Megan Jastrab,2002-01-29,,,,United States,,,,,Megan,2002.0
137341,140693,Meg Harris,2002-03-07,Albury,New South Wales,AUS,Australia,,,,,Meg,2002.0
136585,139812,McKenna Mazlo,2002-03-15,Olney,Maryland,USA,United States,,,,,McKenna,2002.0
135828,139042,Maëlle Veyre,2002-11-23,,,,France,,,,,Maëlle,2002.0
135406,138620,Maxx Parys,2002-01-27,Millville,Massachusetts,USA,United States,,,,,Maxx,2002.0
135895,139109,Maximilian Winz,2002-05-30,,,,Switzerland,,,,,Maximilian,2002.0
136700,139932,Maxeen Thibeault,2002-05-16,Montréal,Québec,CAN,Canada,,,,,Maxeen,2002.0
135287,138501,Max Geißler-Hauber,2002-08-18,,,,Germany,,,,,Max,2002.0
135749,138963,Matúš Oravec,2002-09-18,,,,Slovakia,,,,,Matúš,2002.0
136928,140164,Matúš Černek,2002-06-08,,,,Slovakia,,,,,Matúš,2002.0
135710,138924,Mattéo Correia,2002-06-17,,,,France,,,,,Mattéo,2002.0
136649,139880,Mattéo Baud,2002-06-26,Pontarlier,Doubs,FRA,France,184.0,66.0,,2.787878787878788,Mattéo,2002.0
